Country_Name,Country_Code,Indicator_Name,Indicator_Code,year_1970,year_1971,year_1972,year_1973,year_1974,year_1975,year_1976,year_1977,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025
Afghanistan,AFG,Average grace period on new external debt commitments (years),DT.GPA.DPPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.25,8.0833,9.9575,0,7.8333,0,0,0,29.8333,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"Average grace period on new external debt commitments, official (years)",DT.GPA.OFFT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.25,8.0833,9.9575,0,7.8333,0,0,0,29.8333,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"Average grace period on new external debt commitments, private (years)",DT.GPA.PRVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,Average grant element on new external debt commitments (%),DT.GRE.DPPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1157,69.8357,80.5234,0,53.1957,0,0,0,96.378,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"Average grant element on new external debt commitments, official (%)",DT.GRE.OFFT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1157,69.8357,80.5234,0,53.1957,0,0,0,96.378,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"Average grant element on new external debt commitments, private (%)",DT.GRE.PRVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,Average interest on new external debt commitments (%),DT.INR.DPPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2496,1.3852,0.4823,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2496,1.3852,0.4823,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"Average interest on new external debt commitments, private (%)",DT.INR.PRVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,Average maturity on new external debt commitments (years),DT.MAT.DPPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.75,31.5833,34.6338,0,25.3333,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"Average maturity on new external debt commitments, official (years)",DT.MAT.OFFT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.75,31.5833,34.6338,0,25.3333,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
